text,date,user_location
Acara bertaraf internasional itu dipastikan tidak hanya menyuguhkan aksi para pembalap di sirkuit. Tapi juga hibura… https://t.co/d3FGRVWNSq,2022-03-28 10:40:34,
"Soal Berapa Kapasitas Penonton Formula E Jakarta, Panitia akan Segera Menentukan https://t.co/cl70UwzRbG",2022-03-28 10:28:04,"Bandung, Jawa Barat"
"17.20 #BeritaSONORA - Diklaim Sudah Selesai 87,9 Persen, Sudah Sampai Mana Progres Sirkuit Formula E Ancol Jakarta?… https://t.co/lI3g5JstsT",2022-03-28 10:21:15,"Jakarta Barat, DKI Jakarta"
Rencana pembangunan selama 54 hari tersebut harus molor lantaran desain sirkuit yang dinilai pihak FEO belum memenu… https://t.co/eowviKacgl,2022-03-28 10:05:25,Jakarta
"@WahyuEkoPrabow9 @insaninsun @cibel_tompelan @ErSatArema021 @AndriHarsa @03__nakula Mudahnya, kl memang itu baik bu… https://t.co/KezyZoLcX9",2022-03-28 09:49:38,"Zittau, Germany"
Anggota Fraksi Gerindra DPRD DKI Jakarta Syarif mewajarkan bila nantinya pendapatan tiket dari gelaran Formula E ti… https://t.co/pYql3rEhNr,2022-03-28 09:49:02,Indonesia
"Pembangunan sirkuit Formula E di Ancol, Jakarta Utara terus dikebut. #kumparanNEWS https://t.co/mjlsFRgpmO",2022-03-28 09:41:12,
@Mangkub68305207 @ChusnulCh__ @psi_id @PDI_Perjuangan @GeiszChalifah goblok kaliam kritik formula e buang buang ang… https://t.co/Iq39zeHeN9,2022-03-28 09:28:28,kamarkecil
Panitia Formula E Jakarta menegaskan belum ada keputusan final jumlah penonton Formula E di Ancol. #kumparanNEWS https://t.co/PEsuxiVxin,2022-03-28 09:26:03,
Perasaan jaman dulu sirkuit di #Ancol paling banter balap gokart. https://t.co/P3VzgBP5SO #formulaE #formula_e,2022-03-28 09:19:40,"Jatiasih, Bekasi"
Wakil Gubernur DKI Jakarta Ahmad Riza Patria menanggapi kapasitas penonton Formula E yang merosot menjadi 10 ribu.… https://t.co/5U0WJamGiM,2022-03-28 09:13:03,Indonesia
Pemprov DKI Jakarta memutuskan untuk mengurangi kapasitas penonton Formula E yang semula ditargetkan 50 ribu penont… https://t.co/uu7tndVVhI,2022-03-28 09:05:02,Jakarta
